Loyalty Number,Country,Province,City,Postal Code,Gender,Education,Salary,Marital Status,Loyalty Card,CLV,Enrollment Type,Enrollment Year,Enrollment Month,Cancellation Year,Cancellation Month,salary_imputed_flag,flights_2017,distance_2017,points_earned_2017,points_redeemed_2017,dollar_redeemed_2017,active_months_2017,flights_2018,Silent_Churn_Flag,Formally_Cancelled,education_rank,card_rank,is_married,Cluster,Churn_Risk_Score,Strategic_Segment
480934,Canada,Ontario,Toronto,M2Z 4K1,Female,Bachelor,83236.0,Married,Star,3839.14,Standard,2016,2,,,0,18,25352,25352.0,322,58,7,19,0,0,3,1,1,2,0.019607843831181526,Married Loyalists
549612,Canada,Alberta,Edmonton,T3G 6Y6,Male,College,73510.0,Divorced,Star,3839.61,Standard,2016,3,,,1,31,36136,36136.0,787,142,8,27,0,0,2,1,0,3,0.010416666977107525,Single Frequent Flyers
429460,Canada,British Columbia,Vancouver,V6E 3D9,Male,College,73510.0,Single,Star,3839.75,Standard,2014,7,2018.0,1.0,1,16,22957,22957.0,374,67,7,2,0,1,2,1,0,3,0.0746268630027771,Single Frequent Flyers
608370,Canada,Ontario,Toronto,P1W 1K4,Male,College,73510.0,Single,Star,3839.75,Standard,2013,2,,,1,24,33369,33369.0,864,156,9,11,0,0,2,1,0,3,0.0,Single Frequent Flyers
530508,Canada,Quebec,Hull,J8Y 3Z5,Male,Bachelor,103495.0,Married,Star,3842.79,Standard,2014,10,,,0,11,19886,19886.0,0,0,4,26,0,0,3,1,1,1,0.13725490868091583,At-Risk Infrequent Flyers
193662,Canada,Yukon,Whitehorse,Y2K 6R0,Male,Bachelor,51124.0,Married,Star,3844.57,Standard,2012,5,,,0,52,84718,84718.0,854,154,19,34,0,0,3,1,1,2,0.015625,Married Loyalists
927943,Canada,Ontario,Toronto,P5S 6R4,Female,College,73510.0,Single,Star,3857.95,Standard,2014,6,,,1,16,21692,21692.0,1174,211,6,24,0,0,2,1,0,3,0.019607843831181526,Single Frequent Flyers
188893,Canada,Ontario,Trenton,K8V 4B2,Male,Bachelor,100159.0,Married,Star,3861.49,Standard,2016,12,,,0,23,42235,42235.0,334,60,8,18,0,0,3,1,1,2,0.015625,Married Loyalists
852392,Canada,Quebec,Montreal,H2Y 2W2,Female,Bachelor,100159.0,Married,Star,3861.49,Standard,2015,5,,,0,20,36504,36504.0,990,179,7,7,0,0,3,1,1,2,0.015625,Married Loyalists
866307,Canada,Ontario,Toronto,M8Y 4K8,Male,Bachelor,100159.0,Married,Star,3861.49,Standard,2016,10,,,0,23,28135,28135.0,1057,190,7,21,0,0,3,1,1,2,0.015625,Married Loyalists
932823,Canada,British Columbia,Vancouver,V6E 3D9,Female,Bachelor,66444.0,Married,Star,3863.31,Standard,2015,3,,,0,25,45739,45739.0,499,90,9,26,0,0,3,1,1,2,0.015625,Married Loyalists
144514,Canada,British Columbia,Dawson Creek,U5I 4F1,Female,Bachelor,49618.0,Married,Star,3864.78,Standard,2016,6,,,0,12,16970,16970.0,0,0,5,19,0,0,3,1,1,1,0.0746268630027771,At-Risk Infrequent Flyers
